mgi_id,source_symbol,manual_decision,manual_ensembl_gene_id,replacement_mgi_id,evidence,rationale,reviewed_on
MGI:1096399,Vamp7,exclude_no_ensembl116_id,,,"MGI_EntrezGene.rpt: NCBI Gene 20955; no matching Ensembl116 Gene ID in the frozen BioMart universe","No stable Ensembl116 analysis ID is available; Symbol is not used as a substitute.",2026-08-05
MGI:105113,Gcna,include,ENSMUSG00000121977,,"MGI_EntrezGene.rpt: MGI:105113 -> NCBI Gene 115489118; Ensembl116 BioMart: NCBI Gene 115489118 -> ENSMUSG00000121977","Unique current MGI Entrez-to-Ensembl116 chain; Symbol is display-only.",2026-08-22
MGI:1201793,Ang5,include,ENSMUSG00000053961,,"MGI_EntrezGene.rpt: MGI:1201793 -> NCBI Gene 11730; Ensembl116 BioMart: NCBI Gene 11730 -> ENSMUSG00000053961","Unique official Entrez-to-Ensembl116 chain.",2026-08-05
MGI:1349389,Gcat,include,ENSMUSG00000006378,,"MGI and Entrez routes distinguish ENSMUSG00000006378 from a lower-version overlapping alternative","Canonical Ensembl116 locus selected by stable identifier evidence.",2026-08-05
MGI:1858256,Naip7,exclude_no_ensembl116_id,,,"MGI_EntrezGene.rpt: MGI:1858256 -> NCBI Gene 53880; the frozen Ensembl116 mapping has no record for NCBI Gene 53880","No Ensembl116 Gene ID can be assigned without inventing a non-official mapping.",2026-08-22
MGI:1891441,Csprs,include,ENSMUSG00000062783,,"MGI_EntrezGene.rpt: MGI:1891441 -> NCBI Gene 114564; Ensembl116 BioMart: NCBI Gene 114564 -> ENSMUSG00000062783","Unique current MGI Entrez-to-Ensembl116 chain; Symbol is display-only.",2026-08-22
MGI:1926079,Tsc22d4,include,ENSMUSG00000144223,,"MGI_EntrezGene.rpt: MGI:1926079 -> current NCBI Gene 78829; Ensembl116 BioMart: NCBI Gene 78829 -> ENSMUSG00000144223. The direct MGI cross-reference instead carries retired NCBI Gene 122152370.","Current official MGI Entrez record resolves the conflicting historical cross-reference without using Symbol.",2026-08-22
MGI:1926047,Ndor1,include,ENSMUSG00000006471,,"MGI and Entrez routes identify ENSMUSG00000006471 as the complete canonical Ensembl116 locus","Canonical full-locus Ensembl model avoids duplicate weighting.",2026-08-05
MGI:2149034,Obox4,exclude_no_ensembl116_id,,,"MGI, Ensembl116 BioMart, and MRK_ENSEMBL sources contain no usable Ensembl116 Gene ID","No Ensembl116 Gene ID can be entered without inventing a mapping.",2026-08-04
MGI:2180203,Tmlhe,exclude_no_ensembl116_id,,,"MGI_EntrezGene.rpt: NCBI Gene 192289; no matching Ensembl116 Gene ID in the frozen BioMart universe","No stable Ensembl116 analysis ID is available; Symbol is not used as a substitute.",2026-08-05
MGI:3845011,Gm16367,include,ENSMUSG00000096550,,"MGI_EntrezGene.rpt: MGI:3845011 -> NCBI Gene 545762; Ensembl116 BioMart: NCBI Gene 545762 -> ENSMUSG00000096550","Unique official Entrez-to-Ensembl116 chain; no Symbol-based selection was used.",2026-08-22
MGI:4414029,n-TSaga9,exclude_no_ensembl116_id,,,"MGI_EntrezGene.rpt: NCBI Gene 102467375; no matching Ensembl116 Gene ID in the frozen BioMart universe","Nuclear tRNA entry has no Ensembl116 Gene ID usable in an ENSMUSG-ranked analysis.",2026-08-05
MGI:4414044,n-TStga1,exclude_no_ensembl116_id,,,"MGI_EntrezGene.rpt: NCBI Gene 102467382; no matching Ensembl116 Gene ID in the frozen BioMart universe","Nuclear tRNA entry has no Ensembl116 Gene ID usable in an ENSMUSG-ranked analysis.",2026-08-05
MGI:6274337,Taf7l2,include,ENSMUSG00000121803,,"MGI_EntrezGene.rpt: MGI:6274337 -> NCBI Gene 619332; Ensembl116 BioMart: NCBI Gene 619332 -> ENSMUSG00000121803","Unique official Entrez-to-Ensembl116 chain.",2026-08-05
MGI:96021,Hbb-b1,include,ENSMUSG00000052305,"MGI:2145152;MGI:3821590","MGI_EntrezGene.rpt: MGI:96021 -> NCBI Gene 15129 and active related MGI IDs; Ensembl116 BioMart: NCBI Gene 15129 -> ENSMUSG00000052305","Unique official Entrez-to-Ensembl116 chain resolves the retained GAF object.",2026-08-22
